"Lp","Id","Nazwa instytucji","Data utworzenia / data wpisu do ewiencji uczelni niepublicznych","Organ nadzorujący","Rodzaj instytucji","Państwowy Instytut Badawczy","Rok od kiedy Państwowy Instytut Badawczy","Data postawienia w stan likwidacji","Data likwidacji","Typ uczelni","Typ instytucji naukowej","REGON","NIP","KRS","Numer uczelni nadany przez ministra","Numer wpisu do ewidencji uczelni niepublicznych","Numer rejestru instytutów PAN","Strona www","Adres e-mail","Telefon","Adres skrzynki podawczej","Kraj","Województwo","Adres - ulica","Adres - numer","Adres - kod pocztowy","Adres - miasto","Dane osoby kierującej podmiotem","Identyfikator osoby kierującej podmiotem","Skład federacji - Nazwa instytucji","Skład federacji - Identyfikator instytucji","Skład federacji - W federacji od","Skład federacji - W federacji do","Nazwy - Nazwa","Nazwy - Data nadania nazwy","Instytucje poprzedzające - Nazwa instytucji","Instytucje poprzedzające - ID instytucji","Instytucje poprzedzające - REGON","Instytucje poprzedzające - NIP","Instytucje poprzedzające - KRS","Instytucje poprzedzające - Numer w rejestrze PAN","Instytucje poprzedzające - Numer w ewidencji uczelni niepublicznych","Instytucje poprzedzające - Organ nadzorujący","Instytucje poprzedzające - Rodzaj przekształcenia","Instytucje poprzedzające - Data przekształcenia","Instytucje dziedziczące - Nazwa instytucji","Instytucje dziedziczące - ID instytucji","Instytucje dziedziczące - REGON","Instytucje dziedziczące - NIP","Instytucje dziedziczące - KRS","Instytucje dziedziczące - Numer w rejestrze PAN","Instytucje dziedziczące - Numer w ewidencji uczelni niepublicznych","Instytucje dziedziczące - Organ nadzorujący","Instytucje dziedziczące - Rodzaj przekształcenia","Instytucje dziedziczące - Data przekształcenia","Historia zmian organu - Organ nadzorujący","Historia zmian organu - Data przypisania do organu","Historia zmian statusu - Status","Historia zmian statusu - Data nadania statusu","Historia zmian typu - Typ","Historia zmian typu - Data nadania typu","Historia zmian adresu - Adres","Historia zmian adresu - Data otrzymania adresu"
"1906","5258df8b-3924-4f7a-ab2f-6b1379e3a6dc","Sieć Badawcza Łukasiewicz - Krakowski Instytut Technologiczny","1946-02-01","Centrum Łukasiewicz","Instytucja naukowa","Nie","","","","","instytut Sieci Łukasiewicz","387116932","6750000088","0000861401","","","","https://kit.lukasiewicz.gov.pl/","sekretariat@kit.lukasiewicz.gov.pl","12 26 18 324","/IOd/SkrytkaESP","Polska","małopolskie","Zakopiańska","73","30-418","Kraków","Katarzyna Maria dr hab. Marzec - Dyrektor instytutu SBŁ","",,,,,"Instytut Odlewnictwa","1946-02-01","Sieć Badawcza Łukasiewicz - Instytut Techniki i Aparatury Medycznej ITAM","6556f93d-6ace-4ba6-aef2-362a4e7b0d2f","000689823","6480001467","","","","Centrum Łukasiewicz","Włączenie","2023-01-01",,,,,,,,,,,"Minister Przedsiębiorczości i Technologii","2018-01-11","Działająca","1946-02-01","instytut Sieci Łukasiewicz","2019-04-01","ul. Zakopiańska 73, 30-418 Kraków, woj. małopolskie, Polska","1946-02-01"
"1907","5258df8b-3924-4f7a-ab2f-6b1379e3a6dc","Sieć Badawcza Łukasiewicz - Krakowski Instytut Technologiczny","1946-02-01","Centrum Łukasiewicz","Instytucja naukowa","Nie","","","","","instytut Sieci Łukasiewicz","387116932","6750000088","0000861401","","","","https://kit.lukasiewicz.gov.pl/","sekretariat@kit.lukasiewicz.gov.pl","12 26 18 324","/IOd/SkrytkaESP","Polska","małopolskie","Zakopiańska","73","30-418","Kraków","Katarzyna Maria dr hab. Marzec - Dyrektor instytutu SBŁ","",,,,,"Instytut Odlewnictwa","1946-02-01","Sieć Badawcza Łukasiewicz - Instytut Techniki i Aparatury Medycznej ITAM","6556f93d-6ace-4ba6-aef2-362a4e7b0d2f","000689823","6480001467","","","","Centrum Łukasiewicz","Włączenie","2023-01-01",,,,,,,,,,,"Centrum Łukasiewicz","2019-04-01","Działająca","1946-02-01","instytut badawczy","1946-02-01","ul. Zakopiańska 73, 30-418 Kraków, woj. małopolskie, Polska","1946-02-01"
"1908","5258df8b-3924-4f7a-ab2f-6b1379e3a6dc","Sieć Badawcza Łukasiewicz - Krakowski Instytut Technologiczny","1946-02-01","Centrum Łukasiewicz","Instytucja naukowa","Nie","","","","","instytut Sieci Łukasiewicz","387116932","6750000088","0000861401","","","","https://kit.lukasiewicz.gov.pl/","sekretariat@kit.lukasiewicz.gov.pl","12 26 18 324","/IOd/SkrytkaESP","Polska","małopolskie","Zakopiańska","73","30-418","Kraków","Katarzyna Maria dr hab. Marzec - Dyrektor instytutu SBŁ","",,,,,"Instytut Odlewnictwa","1946-02-01","Sieć Badawcza Łukasiewicz - Instytut Techniki i Aparatury Medycznej ITAM","6556f93d-6ace-4ba6-aef2-362a4e7b0d2f","000689823","6480001467","","","","Centrum Łukasiewicz","Włączenie","2023-01-01",,,,,,,,,,,"Centrum Łukasiewicz","2019-04-01","Działająca","1946-02-01","instytut Sieci Łukasiewicz","2019-04-01","ul. Zakopiańska 73, 30-418 Kraków, woj. małopolskie, Polska","1946-02-01"
"1909","5258df8b-3924-4f7a-ab2f-6b1379e3a6dc","Sieć Badawcza Łukasiewicz - Krakowski Instytut Technologiczny","1946-02-01","Centrum Łukasiewicz","Instytucja naukowa","Nie","","","","","instytut Sieci Łukasiewicz","387116932","6750000088","0000861401","","","","https://kit.lukasiewicz.gov.pl/","sekretariat@kit.lukasiewicz.gov.pl","12 26 18 324","/IOd/SkrytkaESP","Polska","małopolskie","Zakopiańska","73","30-418","Kraków","Katarzyna Maria dr hab. Marzec - Dyrektor instytutu SBŁ","",,,,,"Instytut Odlewnictwa","1946-02-01","Sieć Badawcza Łukasiewicz - Instytut Zaawansowanych Technologii Wytwarzania","4dfa0995-5ab0-4cef-bdd1-761f9eda3aa4","000032603","6750001774","","","","Centrum Łukasiewicz","Połączenie","2020-04-01",,,,,,,,,,,"Minister Gospodarki","1946-02-01","Działająca","1946-02-01","instytut badawczy","1946-02-01","ul. Zakopiańska 73, 30-418 Kraków, woj. małopolskie, Polska","1946-02-01"
"1910","5258df8b-3924-4f7a-ab2f-6b1379e3a6dc","Sieć Badawcza Łukasiewicz - Krakowski Instytut Technologiczny","1946-02-01","Centrum Łukasiewicz","Instytucja naukowa","Nie","","","","","instytut Sieci Łukasiewicz","387116932","6750000088","0000861401","","","","https://kit.lukasiewicz.gov.pl/","sekretariat@kit.lukasiewicz.gov.pl","12 26 18 324","/IOd/SkrytkaESP","Polska","małopolskie","Zakopiańska","73","30-418","Kraków","Katarzyna Maria dr hab. Marzec - Dyrektor instytutu SBŁ","",,,,,"Instytut Odlewnictwa","1946-02-01","Sieć Badawcza Łukasiewicz - Instytut Zaawansowanych Technologii Wytwarzania","4dfa0995-5ab0-4cef-bdd1-761f9eda3aa4","000032603","6750001774","","","","Centrum Łukasiewicz","Połączenie","2020-04-01",,,,,,,,,,,"Minister Gospodarki","1946-02-01","Działająca","1946-02-01","instytut Sieci Łukasiewicz","2019-04-01","ul. Zakopiańska 73, 30-418 Kraków, woj. małopolskie, Polska","1946-02-01"
"1911","5258df8b-3924-4f7a-ab2f-6b1379e3a6dc","Sieć Badawcza Łukasiewicz - Krakowski Instytut Technologiczny","1946-02-01","Centrum Łukasiewicz","Instytucja naukowa","Nie","","","","","instytut Sieci Łukasiewicz","387116932","6750000088","0000861401","","","","https://kit.lukasiewicz.gov.pl/","sekretariat@kit.lukasiewicz.gov.pl","12 26 18 324","/IOd/SkrytkaESP","Polska","małopolskie","Zakopiańska","73","30-418","Kraków","Katarzyna Maria dr hab. Marzec - Dyrektor instytutu SBŁ","",,,,,"Instytut Odlewnictwa","1946-02-01","Sieć Badawcza Łukasiewicz - Instytut Zaawansowanych Technologii Wytwarzania","4dfa0995-5ab0-4cef-bdd1-761f9eda3aa4","000032603","6750001774","","","","Centrum Łukasiewicz","Połączenie","2020-04-01",,,,,,,,,,,"Minister Rozwoju, Pracy i Technologii (poprzednio MR)","2015-11-16","Działająca","1946-02-01","instytut badawczy","1946-02-01","ul. Zakopiańska 73, 30-418 Kraków, woj. małopolskie, Polska","1946-02-01"
"1912","5258df8b-3924-4f7a-ab2f-6b1379e3a6dc","Sieć Badawcza Łukasiewicz - Krakowski Instytut Technologiczny","1946-02-01","Centrum Łukasiewicz","Instytucja naukowa","Nie","","","","","instytut Sieci Łukasiewicz","387116932","6750000088","0000861401","","","","https://kit.lukasiewicz.gov.pl/","sekretariat@kit.lukasiewicz.gov.pl","12 26 18 324","/IOd/SkrytkaESP","Polska","małopolskie","Zakopiańska","73","30-418","Kraków","Katarzyna Maria dr hab. Marzec - Dyrektor instytutu SBŁ","",,,,,"Instytut Odlewnictwa","1946-02-01","Sieć Badawcza Łukasiewicz - Instytut Zaawansowanych Technologii Wytwarzania","4dfa0995-5ab0-4cef-bdd1-761f9eda3aa4","000032603","6750001774","","","","Centrum Łukasiewicz","Połączenie","2020-04-01",,,,,,,,,,,"Minister Rozwoju, Pracy i Technologii (poprzednio MR)","2015-11-16","Działająca","1946-02-01","instytut Sieci Łukasiewicz","2019-04-01","ul. Zakopiańska 73, 30-418 Kraków, woj. małopolskie, Polska","1946-02-01"
"1913","5258df8b-3924-4f7a-ab2f-6b1379e3a6dc","Sieć Badawcza Łukasiewicz - Krakowski Instytut Technologiczny","1946-02-01","Centrum Łukasiewicz","Instytucja naukowa","Nie","","","","","instytut Sieci Łukasiewicz","387116932","6750000088","0000861401","","","","https://kit.lukasiewicz.gov.pl/","sekretariat@kit.lukasiewicz.gov.pl","12 26 18 324","/IOd/SkrytkaESP","Polska","małopolskie","Zakopiańska","73","30-418","Kraków","Katarzyna Maria dr hab. Marzec - Dyrektor instytutu SBŁ","",,,,,"Instytut Odlewnictwa","1946-02-01","Sieć Badawcza Łukasiewicz - Instytut Zaawansowanych Technologii Wytwarzania","4dfa0995-5ab0-4cef-bdd1-761f9eda3aa4","000032603","6750001774","","","","Centrum Łukasiewicz","Połączenie","2020-04-01",,,,,,,,,,,"Minister Przedsiębiorczości i Technologii","2018-01-11","Działająca","1946-02-01","instytut badawczy","1946-02-01","ul. Zakopiańska 73, 30-418 Kraków, woj. małopolskie, Polska","1946-02-01"
"1914","5258df8b-3924-4f7a-ab2f-6b1379e3a6dc","Sieć Badawcza Łukasiewicz - Krakowski Instytut Technologiczny","1946-02-01","Centrum Łukasiewicz","Instytucja naukowa","Nie","","","","","instytut Sieci Łukasiewicz","387116932","6750000088","0000861401","","","","https://kit.lukasiewicz.gov.pl/","sekretariat@kit.lukasiewicz.gov.pl","12 26 18 324","/IOd/SkrytkaESP","Polska","małopolskie","Zakopiańska","73","30-418","Kraków","Katarzyna Maria dr hab. Marzec - Dyrektor instytutu SBŁ","",,,,,"Instytut Odlewnictwa","1946-02-01","Sieć Badawcza Łukasiewicz - Instytut Zaawansowanych Technologii Wytwarzania","4dfa0995-5ab0-4cef-bdd1-761f9eda3aa4","000032603","6750001774","","","","Centrum Łukasiewicz","Połączenie","2020-04-01",,,,,,,,,,,"Minister Przedsiębiorczości i Technologii","2018-01-11","Działająca","1946-02-01","instytut Sieci Łukasiewicz","2019-04-01","ul. Zakopiańska 73, 30-418 Kraków, woj. małopolskie, Polska","1946-02-01"
"1915","5258df8b-3924-4f7a-ab2f-6b1379e3a6dc","Sieć Badawcza Łukasiewicz - Krakowski Instytut Technologiczny","1946-02-01","Centrum Łukasiewicz","Instytucja naukowa","Nie","","","","","instytut Sieci Łukasiewicz","387116932","6750000088","0000861401","","","","https://kit.lukasiewicz.gov.pl/","sekretariat@kit.lukasiewicz.gov.pl","12 26 18 324","/IOd/SkrytkaESP","Polska","małopolskie","Zakopiańska","73","30-418","Kraków","Katarzyna Maria dr hab. Marzec - Dyrektor instytutu SBŁ","",,,,,"Instytut Odlewnictwa","1946-02-01","Sieć Badawcza Łukasiewicz - Instytut Zaawansowanych Technologii Wytwarzania","4dfa0995-5ab0-4cef-bdd1-761f9eda3aa4","000032603","6750001774","","","","Centrum Łukasiewicz","Połączenie","2020-04-01",,,,,,,,,,,"Centrum Łukasiewicz","2019-04-01","Działająca","1946-02-01","instytut badawczy","1946-02-01","ul. Zakopiańska 73, 30-418 Kraków, woj. małopolskie, Polska","1946-02-01"
"1916","5258df8b-3924-4f7a-ab2f-6b1379e3a6dc","Sieć Badawcza Łukasiewicz - Krakowski Instytut Technologiczny","1946-02-01","Centrum Łukasiewicz","Instytucja naukowa","Nie","","","","","instytut Sieci Łukasiewicz","387116932","6750000088","0000861401","","","","https://kit.lukasiewicz.gov.pl/","sekretariat@kit.lukasiewicz.gov.pl","12 26 18 324","/IOd/SkrytkaESP","Polska","małopolskie","Zakopiańska","73","30-418","Kraków","Katarzyna Maria dr hab. Marzec - Dyrektor instytutu SBŁ","",,,,,"Instytut Odlewnictwa","1946-02-01","Sieć Badawcza Łukasiewicz - Instytut Zaawansowanych Technologii Wytwarzania","4dfa0995-5ab0-4cef-bdd1-761f9eda3aa4","000032603","6750001774","","","","Centrum Łukasiewicz","Połączenie","2020-04-01",,,,,,,,,,,"Centrum Łukasiewicz","2019-04-01","Działająca","1946-02-01","instytut Sieci Łukasiewicz","2019-04-01","ul. Zakopiańska 73, 30-418 Kraków, woj. małopolskie, Polska","1946-02-01"
"1917","5258df8b-3924-4f7a-ab2f-6b1379e3a6dc","Sieć Badawcza Łukasiewicz - Krakowski Instytut Technologiczny","1946-02-01","Centrum Łukasiewicz","Instytucja naukowa","Nie","","","","","instytut Sieci Łukasiewicz","387116932","6750000088","0000861401","","","","https://kit.lukasiewicz.gov.pl/","sekretariat@kit.lukasiewicz.gov.pl","12 26 18 324","/IOd/SkrytkaESP","Polska","małopolskie","Zakopiańska","73","30-418","Kraków","Katarzyna Maria dr hab. Marzec - Dyrektor instytutu SBŁ","",,,,,"Sieć Badawcza Łukasiewicz - Instytut Odlewnictwa","2019-04-01","Sieć Badawcza Łukasiewicz - Instytut Techniki i Aparatury Medycznej ITAM","6556f93d-6ace-4ba6-aef2-362a4e7b0d2f","000689823","6480001467","","","","Centrum Łukasiewicz","Włączenie","2023-01-01",,,,,,,,,,,"Minister Gospodarki","1946-02-01","Działająca","1946-02-01","instytut badawczy","1946-02-01","ul. Zakopiańska 73, 30-418 Kraków, woj. małopolskie, Polska","1946-02-01"
"1918","5258df8b-3924-4f7a-ab2f-6b1379e3a6dc","Sieć Badawcza Łukasiewicz - Krakowski Instytut Technologiczny","1946-02-01","Centrum Łukasiewicz","Instytucja naukowa","Nie","","","","","instytut Sieci Łukasiewicz","387116932","6750000088","0000861401","","","","https://kit.lukasiewicz.gov.pl/","sekretariat@kit.lukasiewicz.gov.pl","12 26 18 324","/IOd/SkrytkaESP","Polska","małopolskie","Zakopiańska","73","30-418","Kraków","Katarzyna Maria dr hab. Marzec - Dyrektor instytutu SBŁ","",,,,,"Sieć Badawcza Łukasiewicz - Instytut Odlewnictwa","2019-04-01","Sieć Badawcza Łukasiewicz - Instytut Techniki i Aparatury Medycznej ITAM","6556f93d-6ace-4ba6-aef2-362a4e7b0d2f","000689823","6480001467","","","","Centrum Łukasiewicz","Włączenie","2023-01-01",,,,,,,,,,,"Minister Gospodarki","1946-02-01","Działająca","1946-02-01","instytut Sieci Łukasiewicz","2019-04-01","ul. Zakopiańska 73, 30-418 Kraków, woj. małopolskie, Polska","1946-02-01"
"1919","5258df8b-3924-4f7a-ab2f-6b1379e3a6dc","Sieć Badawcza Łukasiewicz - Krakowski Instytut Technologiczny","1946-02-01","Centrum Łukasiewicz","Instytucja naukowa","Nie","","","","","instytut Sieci Łukasiewicz","387116932","6750000088","0000861401","","","","https://kit.lukasiewicz.gov.pl/","sekretariat@kit.lukasiewicz.gov.pl","12 26 18 324","/IOd/SkrytkaESP","Polska","małopolskie","Zakopiańska","73","30-418","Kraków","Katarzyna Maria dr hab. Marzec - Dyrektor instytutu SBŁ","",,,,,"Sieć Badawcza Łukasiewicz - Instytut Odlewnictwa","2019-04-01","Sieć Badawcza Łukasiewicz - Instytut Techniki i Aparatury Medycznej ITAM","6556f93d-6ace-4ba6-aef2-362a4e7b0d2f","000689823","6480001467","","","","Centrum Łukasiewicz","Włączenie","2023-01-01",,,,,,,,,,,"Minister Rozwoju, Pracy i Technologii (poprzednio MR)","2015-11-16","Działająca","1946-02-01","instytut badawczy","1946-02-01","ul. Zakopiańska 73, 30-418 Kraków, woj. małopolskie, Polska","1946-02-01"
"1920","5258df8b-3924-4f7a-ab2f-6b1379e3a6dc","Sieć Badawcza Łukasiewicz - Krakowski Instytut Technologiczny","1946-02-01","Centrum Łukasiewicz","Instytucja naukowa","Nie","","","","","instytut Sieci Łukasiewicz","387116932","6750000088","0000861401","","","","https://kit.lukasiewicz.gov.pl/","sekretariat@kit.lukasiewicz.gov.pl","12 26 18 324","/IOd/SkrytkaESP","Polska","małopolskie","Zakopiańska","73","30-418","Kraków","Katarzyna Maria dr hab. Marzec - Dyrektor instytutu SBŁ","",,,,,"Sieć Badawcza Łukasiewicz - Instytut Odlewnictwa","2019-04-01","Sieć Badawcza Łukasiewicz - Instytut Techniki i Aparatury Medycznej ITAM","6556f93d-6ace-4ba6-aef2-362a4e7b0d2f","000689823","6480001467","","","","Centrum Łukasiewicz","Włączenie","2023-01-01",,,,,,,,,,,"Minister Rozwoju, Pracy i Technologii (poprzednio MR)","2015-11-16","Działająca","1946-02-01","instytut Sieci Łukasiewicz","2019-04-01","ul. Zakopiańska 73, 30-418 Kraków, woj. małopolskie, Polska","1946-02-01"
"1921","5258df8b-3924-4f7a-ab2f-6b1379e3a6dc","Sieć Badawcza Łukasiewicz - Krakowski Instytut Technologiczny","1946-02-01","Centrum Łukasiewicz","Instytucja naukowa","Nie","","","","","instytut Sieci Łukasiewicz","387116932","6750000088","0000861401","","","","https://kit.lukasiewicz.gov.pl/","sekretariat@kit.lukasiewicz.gov.pl","12 26 18 324","/IOd/SkrytkaESP","Polska","małopolskie","Zakopiańska","73","30-418","Kraków","Katarzyna Maria dr hab. Marzec - Dyrektor instytutu SBŁ","",,,,,"Sieć Badawcza Łukasiewicz - Instytut Odlewnictwa","2019-04-01","Sieć Badawcza Łukasiewicz - Instytut Techniki i Aparatury Medycznej ITAM","6556f93d-6ace-4ba6-aef2-362a4e7b0d2f","000689823","6480001467","","","","Centrum Łukasiewicz","Włączenie","2023-01-01",,,,,,,,,,,"Minister Przedsiębiorczości i Technologii","2018-01-11","Działająca","1946-02-01","instytut badawczy","1946-02-01","ul. Zakopiańska 73, 30-418 Kraków, woj. małopolskie, Polska","1946-02-01"
"1922","5258df8b-3924-4f7a-ab2f-6b1379e3a6dc","Sieć Badawcza Łukasiewicz - Krakowski Instytut Technologiczny","1946-02-01","Centrum Łukasiewicz","Instytucja naukowa","Nie","","","","","instytut Sieci Łukasiewicz","387116932","6750000088","0000861401","","","","https://kit.lukasiewicz.gov.pl/","sekretariat@kit.lukasiewicz.gov.pl","12 26 18 324","/IOd/SkrytkaESP","Polska","małopolskie","Zakopiańska","73","30-418","Kraków","Katarzyna Maria dr hab. Marzec - Dyrektor instytutu SBŁ","",,,,,"Sieć Badawcza Łukasiewicz - Instytut Odlewnictwa","2019-04-01","Sieć Badawcza Łukasiewicz - Instytut Techniki i Aparatury Medycznej ITAM","6556f93d-6ace-4ba6-aef2-362a4e7b0d2f","000689823","6480001467","","","","Centrum Łukasiewicz","Włączenie","2023-01-01",,,,,,,,,,,"Minister Przedsiębiorczości i Technologii","2018-01-11","Działająca","1946-02-01","instytut Sieci Łukasiewicz","2019-04-01","ul. Zakopiańska 73, 30-418 Kraków, woj. małopolskie, Polska","1946-02-01"
"1923","5258df8b-3924-4f7a-ab2f-6b1379e3a6dc","Sieć Badawcza Łukasiewicz - Krakowski Instytut Technologiczny","1946-02-01","Centrum Łukasiewicz","Instytucja naukowa","Nie","","","","","instytut Sieci Łukasiewicz","387116932","6750000088","0000861401","","","","https://kit.lukasiewicz.gov.pl/","sekretariat@kit.lukasiewicz.gov.pl","12 26 18 324","/IOd/SkrytkaESP","Polska","małopolskie","Zakopiańska","73","30-418","Kraków","Katarzyna Maria dr hab. Marzec - Dyrektor instytutu SBŁ","",,,,,"Sieć Badawcza Łukasiewicz - Instytut Odlewnictwa","2019-04-01","Sieć Badawcza Łukasiewicz - Instytut Techniki i Aparatury Medycznej ITAM","6556f93d-6ace-4ba6-aef2-362a4e7b0d2f","000689823","6480001467","","","","Centrum Łukasiewicz","Włączenie","2023-01-01",,,,,,,,,,,"Centrum Łukasiewicz","2019-04-01","Działająca","1946-02-01","instytut badawczy","1946-02-01","ul. Zakopiańska 73, 30-418 Kraków, woj. małopolskie, Polska","1946-02-01"
"1924","5258df8b-3924-4f7a-ab2f-6b1379e3a6dc","Sieć Badawcza Łukasiewicz - Krakowski Instytut Technologiczny","1946-02-01","Centrum Łukasiewicz","Instytucja naukowa","Nie","","","","","instytut Sieci Łukasiewicz","387116932","6750000088","0000861401","","","","https://kit.lukasiewicz.gov.pl/","sekretariat@kit.lukasiewicz.gov.pl","12 26 18 324","/IOd/SkrytkaESP","Polska","małopolskie","Zakopiańska","73","30-418","Kraków","Katarzyna Maria dr hab. Marzec - Dyrektor instytutu SBŁ","",,,,,"Sieć Badawcza Łukasiewicz - Instytut Odlewnictwa","2019-04-01","Sieć Badawcza Łukasiewicz - Instytut Techniki i Aparatury Medycznej ITAM","6556f93d-6ace-4ba6-aef2-362a4e7b0d2f","000689823","6480001467","","","","Centrum Łukasiewicz","Włączenie","2023-01-01",,,,,,,,,,,"Centrum Łukasiewicz","2019-04-01","Działająca","1946-02-01","instytut Sieci Łukasiewicz","2019-04-01","ul. Zakopiańska 73, 30-418 Kraków, woj. małopolskie, Polska","1946-02-01"
"1925","5258df8b-3924-4f7a-ab2f-6b1379e3a6dc","Sieć Badawcza Łukasiewicz - Krakowski Instytut Technologiczny","1946-02-01","Centrum Łukasiewicz","Instytucja naukowa","Nie","","","","","instytut Sieci Łukasiewicz","387116932","6750000088","0000861401","","","","https://kit.lukasiewicz.gov.pl/","sekretariat@kit.lukasiewicz.gov.pl","12 26 18 324","/IOd/SkrytkaESP","Polska","małopolskie","Zakopiańska","73","30-418","Kraków","Katarzyna Maria dr hab. Marzec - Dyrektor instytutu SBŁ","",,,,,"Sieć Badawcza Łukasiewicz - Instytut Odlewnictwa","2019-04-01","Sieć Badawcza Łukasiewicz - Instytut Zaawansowanych Technologii Wytwarzania","4dfa0995-5ab0-4cef-bdd1-761f9eda3aa4","000032603","6750001774","","","","Centrum Łukasiewicz","Połączenie","2020-04-01",,,,,,,,,,,"Minister Gospodarki","1946-02-01","Działająca","1946-02-01","instytut badawczy","1946-02-01","ul. Zakopiańska 73, 30-418 Kraków, woj. małopolskie, Polska","1946-02-01"
"1926","5258df8b-3924-4f7a-ab2f-6b1379e3a6dc","Sieć Badawcza Łukasiewicz - Krakowski Instytut Technologiczny","1946-02-01","Centrum Łukasiewicz","Instytucja naukowa","Nie","","","","","instytut Sieci Łukasiewicz","387116932","6750000088","0000861401","","","","https://kit.lukasiewicz.gov.pl/","sekretariat@kit.lukasiewicz.gov.pl","12 26 18 324","/IOd/SkrytkaESP","Polska","małopolskie","Zakopiańska","73","30-418","Kraków","Katarzyna Maria dr hab. Marzec - Dyrektor instytutu SBŁ","",,,,,"Sieć Badawcza Łukasiewicz - Instytut Odlewnictwa","2019-04-01","Sieć Badawcza Łukasiewicz - Instytut Zaawansowanych Technologii Wytwarzania","4dfa0995-5ab0-4cef-bdd1-761f9eda3aa4","000032603","6750001774","","","","Centrum Łukasiewicz","Połączenie","2020-04-01",,,,,,,,,,,"Minister Gospodarki","1946-02-01","Działająca","1946-02-01","instytut Sieci Łukasiewicz","2019-04-01","ul. Zakopiańska 73, 30-418 Kraków, woj. małopolskie, Polska","1946-02-01"
"1927","5258df8b-3924-4f7a-ab2f-6b1379e3a6dc","Sieć Badawcza Łukasiewicz - Krakowski Instytut Technologiczny","1946-02-01","Centrum Łukasiewicz","Instytucja naukowa","Nie","","","","","instytut Sieci Łukasiewicz","387116932","6750000088","0000861401","","","","https://kit.lukasiewicz.gov.pl/","sekretariat@kit.lukasiewicz.gov.pl","12 26 18 324","/IOd/SkrytkaESP","Polska","małopolskie","Zakopiańska","73","30-418","Kraków","Katarzyna Maria dr hab. Marzec - Dyrektor instytutu SBŁ","",,,,,"Sieć Badawcza Łukasiewicz - Instytut Odlewnictwa","2019-04-01","Sieć Badawcza Łukasiewicz - Instytut Zaawansowanych Technologii Wytwarzania","4dfa0995-5ab0-4cef-bdd1-761f9eda3aa4","000032603","6750001774","","","","Centrum Łukasiewicz","Połączenie","2020-04-01",,,,,,,,,,,"Minister Rozwoju, Pracy i Technologii (poprzednio MR)","2015-11-16","Działająca","1946-02-01","instytut badawczy","1946-02-01","ul. Zakopiańska 73, 30-418 Kraków, woj. małopolskie, Polska","1946-02-01"
"1928","5258df8b-3924-4f7a-ab2f-6b1379e3a6dc","Sieć Badawcza Łukasiewicz - Krakowski Instytut Technologiczny","1946-02-01","Centrum Łukasiewicz","Instytucja naukowa","Nie","","","","","instytut Sieci Łukasiewicz","387116932","6750000088","0000861401","","","","https://kit.lukasiewicz.gov.pl/","sekretariat@kit.lukasiewicz.gov.pl","12 26 18 324","/IOd/SkrytkaESP","Polska","małopolskie","Zakopiańska","73","30-418","Kraków","Katarzyna Maria dr hab. Marzec - Dyrektor instytutu SBŁ","",,,,,"Sieć Badawcza Łukasiewicz - Instytut Odlewnictwa","2019-04-01","Sieć Badawcza Łukasiewicz - Instytut Zaawansowanych Technologii Wytwarzania","4dfa0995-5ab0-4cef-bdd1-761f9eda3aa4","000032603","6750001774","","","","Centrum Łukasiewicz","Połączenie","2020-04-01",,,,,,,,,,,"Minister Rozwoju, Pracy i Technologii (poprzednio MR)","2015-11-16","Działająca","1946-02-01","instytut Sieci Łukasiewicz","2019-04-01","ul. Zakopiańska 73, 30-418 Kraków, woj. małopolskie, Polska","1946-02-01"
"1929","5258df8b-3924-4f7a-ab2f-6b1379e3a6dc","Sieć Badawcza Łukasiewicz - Krakowski Instytut Technologiczny","1946-02-01","Centrum Łukasiewicz","Instytucja naukowa","Nie","","","","","instytut Sieci Łukasiewicz","387116932","6750000088","0000861401","","","","https://kit.lukasiewicz.gov.pl/","sekretariat@kit.lukasiewicz.gov.pl","12 26 18 324","/IOd/SkrytkaESP","Polska","małopolskie","Zakopiańska","73","30-418","Kraków","Katarzyna Maria dr hab. Marzec - Dyrektor instytutu SBŁ","",,,,,"Sieć Badawcza Łukasiewicz - Instytut Odlewnictwa","2019-04-01","Sieć Badawcza Łukasiewicz - Instytut Zaawansowanych Technologii Wytwarzania","4dfa0995-5ab0-4cef-bdd1-761f9eda3aa4","000032603","6750001774","","","","Centrum Łukasiewicz","Połączenie","2020-04-01",,,,,,,,,,,"Minister Przedsiębiorczości i Technologii","2018-01-11","Działająca","1946-02-01","instytut badawczy","1946-02-01","ul. Zakopiańska 73, 30-418 Kraków, woj. małopolskie, Polska","1946-02-01"
